,,,,,
Word,Pronunciation,Mean_A,Nghĩa tiếng Việt,ExampleSentence,TopicId
Promotion (n),prəˈməʊ.ʃən,The act of marketing and advertising to increase sales,Khuyến mãi,The store ran a special promotion to boost weekend sales.,105
Profitable (adj),ˈprɒf.ɪ.tə.bəl,Resulting in financial gain or benefit,"Có lợi nhuận, sinh lời",The new product line proved to be highly profitable for the company.,105
Pricing Strategy,ˈpraɪ.sɪŋ ˈstræt.ə.dʒi,A plan for setting and adjusting product prices,Chiến lược về giá,The company adopted a competitive pricing strategy to attract customers.,105
Prospect (n),ˈprɒs.pekt,A potential customer or client,"Khách hàng tiềm năng, tiềm năng ",The sales team reached out to prospects to introduce the new product.,105
Purchase (n) (v),ˈpɜː.tʃəs,The act of buying goods or services,Mua hàng,The online platform recorded a significant increase in purchases.,105
Qualify (v),ˈkwɒl.ɪ.faɪ,To meet the necessary criteria or standards,"Đủ điều kiện, có thể",Only customers who qualify for the discount will receive it.,105
Quantity (n),ˈkwɒn.tə.ti,The amount or number of a product available,Số lượng,The store is offering discounts for purchasing large quantities.,105
Value (n),ˈvæl.juː,The worth or importance of something,Giá trị,This product offers great value for money.,105
Wholesale (adj) (n),ˈhəʊl.seɪl,"The sale of goods in large quantities, typically to retailers",Bán sỉ,The company specializes in the wholesale distribution of electronics.,105
Word-of-mouth (adj),ˌwɜːd.əvˈmaʊθ,The passing of information from person to person through oral communication,Truyền miệng,Many businesses rely on positive word-of-mouth for marketing.,105
Absenteeism (n),/ˌæb.sənˈtiː.ɪ.zəm/,The habit of regularly staying away from work or school without a good reason,Sự vắng mặt mà không có lý do chính đáng,High levels of absenteeism can impact team productivity.,104
Applicant (n),/ˈæp.lɪ.kənt/,A person who applies for a job or position,Người ứng tuyển,The company received numerous applicants for the position.,104
Assessment (n),/əˈses.mənt/,"The process of evaluating or measuring someone's skills, knowledge, or performance",Đánh giá,Employee assessments help identify areas for improvement.,104
Aptitude Test (n),/ˈæp.tɪ.tjuːd ˌtest/,A test designed to assess a person's ability in a particular skill or field,Bài kiểm tra năng lực,The aptitude test helped identify candidates' strengths.,104
Accomplishment (n),/əˈkʌm.plɪʃ.mənt/,Something that has been achieved successfully,Thành tựu,The employee's major accomplishments were recognized.,104
Annual Leave (n),/ˈæn.ju.əl liːv/,A paid number of days each year that an employee is allowed to be away from work,Ngày được nghỉ hàng năm,Employees are entitled to a certain number of annual leave days.,104
Authority (n),/ɔːˈθɒr.ə.ti/,"The power or right to give orders, make decisions, and enforce obedience","Quyền lực, quyền",Managers have the authority to make decisions for their teams.,104
Benefit (n),/ˈben.ɪ.fɪt/,Non-wage compensation provided to employees in addition to their normal salary,Quyền lợi,Health insurance is one of the benefits offered by the company.,104
Background Check (n),/ˈbæk.ɡraʊnd ˌtʃek/,"The process of investigating an individual's criminal, educational, and employment history","Kiểm tra lý lịch, quá trình học tập và làm việc trước đây",Employers often conduct background checks on job applicants.,104
Bonus (n),/ˈbəʊ.nəs/,Additional payment given to employees as a reward for good performance,Tiền thưởng,The company awarded a year-end bonus to its employees.,104
Break (n),/breɪk/,A short period of time during which employees can rest or take a pause from work,Giờ nghỉ,Employees are entitled to a lunch break during the workday.,104
Base Salary (n),/beɪs ˈsæl.ər.i/,"The fixed amount of money paid to an employee, not including bonuses or benefits",Lương cơ bản,The base salary is negotiated before additional benefits are considered.,104
Burnout (n),/ˈbɜrnˌɑʊt/,"A state of emotional, physical, and mental exhaustion resulting from prolonged work-related stress",Kiệt sức,Employers should address factors contributing to employee burnout.,104
Compensation (n),/ˌkɒm.penˈseɪ.ʃən/,"The total package of salary, benefits, and other perks offered to an employee",Tiền bồi thường,Competitive compensation is crucial for attracting top talent.,104
Conflict Resolution (n),/ˈkɒn.flɪkt ˌrez.əˈluː.ʃən/,The process of addressing disputes or disagreements in the workplace,Giải quyết xung đột,HR plays a key role in conflict resolution among employees.,104
Candidate (n),/ˈkæn.dɪ.dət/,A person applying for a job or position,Ứng viên,The company interviewed several candidates for the position.,104
Commute (n),/kəˈmjuːt/,The journey from home to work and back,Đường đi làm hàng ngày ,The company's location influences the employees' daily commute.,104
Core Competency (n),/kɔːr ˈkɒm.pɪ.tən.si/,A unique capability or advantage that sets a company apart from its competitors,Năng lực cốt lõi,Identifying and leveraging core competencies is vital for business success.,104
Corporate Culture (n),/ˈkɔː.pər.ət ˈkʌl.tʃər/,"The shared values, beliefs, and practices within an organization",Văn hóa doanh nghiệp,A positive corporate culture fosters collaboration and innovation.,104
Compliance (n),/kəmˈplaɪ.əns/,"Adherence to laws, regulations, and internal policies within an organization",Tuân thủ,Ensuring compliance with labor laws is crucial for HR departments.,104
Diversity (n),/daɪˈvɜː.sə.ti/,"The range of human differences, including but not limited to race, ethnicity, gender, and more",Sự đa dạng,Diversity in the workplace promotes creativity and innovation.,104
Discrimination (n),/dɪˌskrɪm.ɪˈneɪ.ʃən/,Unfair or prejudicial treatment of individuals based on certain characteristics,Sự phân biệt đối xử,Discrimination based on gender is not tolerated in our company.,104
Dismissal (n),/dɪˈsmɪs.əl/,The termination of an employee's employment due to poor performance or other reasons,Sa thải,Dismissal should be a last resort after attempts at improvement.,104
Downsize (v),/ˈdaʊn.saɪz/,The reduction of a company's workforce to improve efficiency or cut costs,Giảm nhân sự,The company had to downsize due to economic challenges.,104
Empowerment (n),/ɪmˈpaʊə.mənt/,The delegation of power or authority to employees to make decisions and take control,"Trao quyền lực, ủy quyền",Empowerment fosters a sense of ownership and responsibility.,104
Employee (n),/ɪmˈplɔɪ.i/,A person hired to work for an organization,Nhân viên,The company has over 500 employees worldwide.,104
Employment (n),/ɪmˈplɔɪ.mənt/,The state of having paid work,Việc làm,The government is working to increase employment opportunities.,104
Evaluation (n),/ɪˌvæl.jəˈweɪ.ʃən/,The process of assessing or appraising someone's performance or worth,Đánh giá,Annual evaluations help employees and employers set goals.,104
Efficiency (n),/ɪˈfɪʃ.ən.si/,The ability to accomplish tasks with minimal wasted resources,Hiệu quả,Implementing new technologies can improve efficiency in the workplace.,104
Enthusiasm (n),/ɪnˈθjuː.zi.æz.əm/,"Intense and eager enjoyment, interest, or approval",Sự nhiệt huyết,Employee enthusiasm contributes to a dynamic workplace.,104
Flexibility (n),/ˌflek.səˈbɪl.ə.ti/,The ability to adapt or change easily to different conditions,Tính linh hoạt,Flexibility in working hours can improve work-life balance.,104
Feedback (n),/ˈfiːd.bæk/,Information or advice about an employee's performance,Nhận xét  ,Regular feedback helps employees improve their performance.,104
Flextime (n),/ˈfleks.taɪm/,A system that allows employees to choose their work hours within certain limits,Giờ làm việc linh hoạt,Flextime arrangements can accommodate employees' diverse schedules.,104
Furlough (n),/ˈfɜː.ləʊ/,"A temporary leave of absence from work, often without pay",Nghỉ phép không lương,"During the economic downturn, some employees experienced a furlough.",104
Full-time (adj),/ˌfʊl ˈtaɪm/,Working a standard number of hours per week as defined by the employer,Toàn thời gian,Full-time employees typically work 40 hours per week.,104
Harassment (n),/ˈhær.əs.mənt/,"Unwanted and inappropriate behavior or conduct, often of a discriminatory nature",Quấy rối,The company has a strict policy against harassment in the workplace.,104
High Performance (n),/ˌhaɪ pəˈfɔː.məns/,Achieving at a level significantly above average,Hiệu suất cao,The team was recognized for its high performance during the project.,104
Hiring Process (collocation),/ˈhaɪə.rɪŋ ˈprəʊ.ses/,The series of steps involved in recruiting and selecting new employees,Quy trình tuyển dụng,A well-organized hiring process ensures the selection of qualified candidates.,104
Leadership (n),/ˈliː.də.ʃɪp/,The ability to guide and inspire others toward a common goal,Lãnh đạo,Effective leadership is crucial for the success of any organization.,104
Layoff (n),/ˈleɪ.ɒf/,The temporary or permanent dismissal of employees due to economic reasons,Sự sa thải tạm thời hoặc vĩnh viễn,The company had to implement layoffs during the economic downturn.,104
Leave Policy,/liːv ˈpɒl.ə.si/,The set of rules and guidelines related to employee time off and absences,Chính sách nghỉ phép,The leave policy outlines how employees can request time off.,104
Mentoring (n),/ˈmen.tɔː.rɪŋ/,A relationship in which an experienced person helps another person develop their skills and knowledge,"Sự hướng dẫn, hỗ trợ ",New employees benefit from mentoring relationships with seasoned colleagues.,104
Motivation (n),/ˌməʊ.tɪˈveɪ.ʃən/,The drive or desire to achieve a goal or complete a task,Động lực,Recognition and rewards contribute to employee motivation.,104
Multicultural (adj),/ˌmʌl.tiˈkʌl.tʃər.əl/,Involving or representing various cultures and cultural backgrounds,Đa văn hóa,Multicultural workplaces promote diversity and inclusion.,104
Morale (n),/məˈrɑːl/,"The overall confidence, enthusiasm, and discipline of a group of people","Tinh thần, tâm huyết của một người (một nhóm)",Team-building activities can boost morale in the workplace.,104
Maternity Leave (n),/məˈtɜː.nə.ti ˌliːv/,A period of authorized absence from work granted to a mother before and after childbirth,Nghỉ thai sản,Many companies offer maternity leave to support new mothers.,104
Management (n),/ˈmæn.ɪdʒ.mənt/,"The process of planning, organizing, directing, and controlling resources to achieve specific goals",Quản lý,Effective management is crucial for organizational success.,104
Negotiation (n),/nəˌɡəʊ.ʃiˈeɪ.ʃən/,The process of reaching an agreement through discussion and compromise,Đàm phán,Effective negotiation skills are essential in resolving workplace conflicts.,104
Networking (n),/ˈnet.wɜː.kɪŋ/,Building professional relationships to exchange information and support,Xây dựng mạng lưới kết nối doanh nghiệp,Networking events provide opportunities for career advancement.,104
Team Building (n),/ˈtiːm ˌbɪl.dɪŋ/,"Activities and strategies to enhance collaboration, trust, and communication within a team",Xây dựng đội nhóm,Team building exercises improve cooperation among team members.,104
Telecommuting (n),/ˌtel.ɪ.kəˈmjuː.tɪŋ/,"Working from a remote location, often using technology to connect with colleagues",Làm việc từ xa,Many companies offer telecommuting options for a better work-life balance.,104
Training (n),/ˈtreɪ.nɪŋ/,The process of teaching employees specific skills or knowledge to improve performance,Đào tạo,Regular training programs contribute to employee skill development.,104
Teamwork (n),/ˈtiːm.wɜːk/,Collaborative efforts of a group of people working together to achieve a common goal,Làm việc nhóm,Effective teamwork fosters innovation and successful project completion.,104
Promotion (n),/prəˈməʊ.ʃən/,The advancement of an employee to a higher position with increased responsibilities,Thăng chức,A promotion is a recognition of an employee's hard work and dedication.,104
Productivity (n),/ˌprɒd.ʌkˈtɪv.ə.ti/,"The measure of the efficiency of production, often related to employee output",Hiệu suất làm việc,Employee training can improve overall productivity in the workplace.,104
Policy (n),/ˈpɒl.ə.si/,"A set of principles, guidelines, or rules established by an organization",Chính sách,HR departments develop policies to ensure fair treatment of employees.,104
Personnel (n),/ˌpɜː.sənˈel/,The employees working in an organization or department,Nhân sự,The personnel department oversees recruitment and employee relations.,104
Vacancy (n),/ˈveɪ.kən.si/,A position or job that is open and available for someone to fill,Vị trí còn trống,The company is advertising a vacancy for a senior manager.,104
Values (n),/ˈvæl.juːz/,The principles or beliefs that guide the behavior and decisions of an organization,"Giá trị, nguyên tắc",The company's values emphasize integrity and teamwork.,104
Vision (n),/ˈvɪʒ.ən/,A statement that outlines an organization's long-term goals and aspirations,Tầm nhìn,The CEO shared the company's vision for sustainable growth.,104
